   displacement,          force
     -0.0152961,   -960.6802384
     -0.0305922,  -1921.3517868
     -0.0458883,  -2882.0276802
     -0.0611844,  -3842.7035736
     -0.0764805,  -4803.3298515
     -0.0917766,  -5764.1376293
     -0.1070727,  -6724.1837894
     -0.1223688,  -7683.0503520
     -0.1376649,  -8641.0185319
     -0.1529610,  -9593.9083882
     -0.1682571, -10533.2996903
     -0.1835532, -11430.9770928
     -0.1988493, -12261.6007495
     -0.2141454, -12993.6875018
     -0.2294415, -13606.8218472
     -0.2447376, -14130.6138283
     -0.2600337, -14588.4111200
     -0.2753298, -14996.5652347
     -0.2906259, -15363.9620651
     -0.3059220, -15696.6744968
     -0.3212181, -15998.3427064
     -0.3365142, -16272.3246531
     -0.3518103, -16520.1595626
     -0.3671064, -16743.3232114
     -0.3824025, -16942.3445582
     -0.3976986, -17117.4905862
     -0.4129947, -17269.5846542
     -0.4282908, -17399.6938411
     -0.4435869, -17507.1550220
     -0.4588830, -17592.0012708
     -0.4741791, -17653.4461174
     -0.4894752, -17688.3530434
     -0.5047713, -17693.1391761
     -0.5200674, -17663.5892551
     -0.5353635, -17590.3501146
     -0.5506596, -17483.9149725
     -0.5659557, -17346.2970177
     -0.5812518, -17178.1444852
