Displacement (mm),Force (N),Time (s)
-0.001334155424670903,-3.9600445538900018,0.022460938
-0.0013309034023958849,-3.994578547535687,0.030273438
-0.001327719291669032,-4.029568898002361,0.038085938
-0.0013246093768715527,-4.064933903591102,0.045898438
-0.0013215802097151185,-4.100596265975473,0.053710938
-0.0013186385493317875,-4.13648176985622,0.061523438
-0.0013157912522088957,-4.172517372842998,0.069335938
-0.0013130451738367023,-4.2086308154040655,0.077148438
-0.001310407121905018,-4.244750204236639,0.084960938
-0.0013078838514919014,-4.28080258217689,0.092773438
-0.001305482079684675,-4.316712812955918,0.10058594
-0.0013032084995003924,-4.352402696304574,0.10839844
-0.0013010697848831372,-4.38778914987498,0.11621094
-0.0012990725913118292,-4.422782870731076,0.12402344
-0.0012972235580769292,-4.457289467187946,0.13183594
-0.0012955293199615478,-4.4912125729774,0.13964844
-0.0012939965336530802,-4.524456350797407,0.14746094
-0.001292631904433986,-4.556926067776003,0.15527344
-0.001291442190237491,-4.588528989164571,0.16308594
-0.0012904341912032572,-4.619177085960967,0.17089844
-0.0012896147388870107,-4.648791292381328,0.17871094
-0.0012889906592975094,-4.677306943710068,0.18652344
-0.0012885687029291315,-4.7046772806725965,0.19433594
-0.0012883555014766464,-4.730871962882427,0.20214844
-0.001288357594057294,-4.755871270076964,0.20996094
-0.0012885814828232699,-4.77965876986951,0.21777344
-0.0012890336523248577,-4.8022161694771714,0.22558594
-0.0012897205404484753,-4.823521715289766,0.23339844
-0.0012906485091203578,-4.843550278883308,0.24121094
-0.0012918238562547129,-4.8622745922081245,0.24902344
-0.0012932528417428136,-4.879668110050308,0.25683594
-0.0012949416797355358,-4.895707912413255,0.26464844
-0.001296896516852239,-4.910375758276052,0.27246094
-0.0012991234440336344,-4.923657775365269,0.28027344
-0.0013016285255154309,-4.935544227797958,0.28808594
-0.001304417802975233,-4.946031032319492,0.29589844
-0.0013074972880925259,-4.955124081216497,0.30371094
-0.0013108729830195488,-4.962842734066564,0.31152344
-0.0013145509348027403,-4.969218990673524,0.31933594
-0.0013185372841554787,-4.974295169704363,0.32714844
-0.0013228382600757075,-4.978122747762928,0.33496094
