Displacement (mm),Force (N),Time (s)
0.0002375503795032248,-3.2883784805880785,0.0234375
0.00023402921287701134,-3.491170515066944,0.03125
0.00023041274233882376,-3.690952475988934,0.0390625
0.0002267009816599976,-3.887064386670838,0.046875
0.00022289404413756254,-4.0788954870003185,0.0546875
0.00021899210086258184,-4.265880928066994,0.0625
0.00021499536441357923,-4.447492619512159,0.0703125
0.0002109041090527093,-4.623235121474416,0.078125
0.00020671869084741798,-4.792649170590448,0.0859375
0.0002024395410839889,-4.955321299517676,0.09375
0.00019806712675320042,-5.110896583203123,0.1015625
0.00019360188999137948,-5.259085407861515,0.109375
0.00018904419973460047,-5.39965787636271,0.1171875
0.0001843943335495714,-5.5324333874292,0.125
0.0001796524738051528,-5.657274158957634,0.1328125
0.00017481872202893513,-5.774081733682,0.140625
0.00016989314819999682,-5.88279510842256,0.1484375
0.00016487583993080336,-5.983393797880862,0.15625
0.00015976691257224768,-6.075905045120752,0.1640625
0.000154566505184646,-6.160407065974063,0.171875
0.00014927479567724265,-6.237026169565682,0.1796875
0.0001438920336868521,-6.305931976049038,0.1875
0.00013841858271354727,-6.367328743334652,0.1953125
0.0001328549656336958,-6.421444269333211,0.203125
0.00012720190412580666,-6.468526142659539,0.2109375
0.00012146034136943351,-6.5088462031243655,0.21875
0.00011563144311340212,-6.542704238005036,0.2265625
0.00010971658684368404,-6.570426475000599,0.234375
0.00010371736110663256,-6.592363891959957,0.2421875
9.763557951320183e-05,-6.608897445157387,0.25
9.147329190877421e-05,-6.62044955375695,0.2578125
8.523279754911407e-05,-6.627493294952149,0.265625
7.891666423591077e-05,-6.630550317456447,0.2734375
7.252771604703387e-05,-6.6301738714244625,0.28125
6.60689783393094e-05,-6.626920984377109,0.2890625
5.9543622114167224e-05,-6.621323198373495,0.296875
5.2954932524087485e-05,-6.613865041225341,0.3046875
4.630629263927265e-05,-6.604975683057421,0.3125
3.960118529720439e-05,-6.5950316049204,0.3203125
3.2843208913918056e-05,-6.584361044627145,0.328125
2.6036058106358175e-05,-6.573245875540632,0.3359375
1.9183465782220647e-05,-6.561924464799112,0.34375
1.2289182342809618e-05,-6.550596300902916,0.3515625
5.357010440707065e-06,-6.539426335471816,0.359375
-1.6091616265096878e-06,-6.5285496649898525,0.3671875
-8.605360091272443e-06,-6.51807862285712,0.375
-1.5627541423447333e-05,-6.508114398916596,0.3828125
-2.267159749371394e-05,-6.498758719173952,0.390625
-2.9733363882377136e-05,-6.490116767274193,0.3984375
-3.6808648031166045e-05,-6.482292845450043,0.40625
-4.389324886262988e-05,-6.475386821345005,0.4140625
-5.0982962500292684e-05,-6.469493334941235,0.421875
-5.807359997233597e-05,-6.464700308107312,0.4296875
-6.516097223129377e-05,-6.461087254214989,0.4375
-7.224078852751917e-05,-6.458728008059165,0.4453125
-7.930853801932982e-05,-6.457695002470597,0.453125
-8.635945979929024e-05,-6.458059034567263,0.4609375
-9.338860820403968e-05,-6.459885798174198,0.46875
-0.00010039095982771434,-6.463233244882758,0.4765625
-0.00010736152265822415,-6.468152622087065,0.484375
-0.00011429542912738651,-6.47469192297876,0.4921875
-0.00012118800663450865,-6.482895487962818,0.5
-0.00012803481169224831,-6.49279857967315,0.5078125
-0.00013483160038303696,-6.504424072165159,0.515625
-0.00014157425767742952,-6.517783892640674,0.5234375
-0.00014825875871114118,-6.532879234260774,0.53125
-0.0001548811813695388,-6.549699362569547,0.5390625
-0.0001614377376699095,-6.568226143107062,0.546875
-0.0001679248077256222,-6.588442058762998,0.5546875
-0.00017433896439268448,-6.610332192661617,0.5625
-0.00018067697544134893,-6.633880023553693,0.5703125
-0.00018693579731028257,-6.659064040700626,0.578125
-0.00019311259080005282,-6.685857301576846,0.5859375
-0.0001992047638861976,-6.714226929156418,0.59375
-0.00020521000933112086,-6.74413315889948,0.6015625
-0.00021112631444228887,-6.775531183805344,0.609375
-0.0002169519626006016,-6.8083742315506655,0.6171875
-0.00022268553461267398,-6.842613333406108,0.625
-0.00022832588176050368,-6.878194068882682,0.6328125
-0.00023387206364065878,-6.915052489467189,0.640625
-0.00023932328356110073,-6.953112060016038,0.6484375
-0.00024467886381182314,-6.992280709407942,0.65625
-0.0002499382747364541,-7.032445118886658,0.6640625
-0.0002551011875308955,-7.073465394886983,0.671875
-0.0002601675136777775,-7.115173754580129,0.6796875
-0.0002651374173605917,-7.157375572165203,0.6875
-0.0002700113129633244,-7.199854728914256,0.6953125
