A,DSC,N iterations,Non-Rigid,Pyramid Schedule,Rigid,Sample,Deformations
100,0.714,500,309,"[50, 30]",50,432_L_77_F,High
100,0.714,500,315,"[50, 20]",50,432_L_77_F,High
100,0.714,500,310,"[50, 20, 10]",50,432_L_77_F,High
100,0.727,1000,398,"[50, 30]",50,432_L_77_F,High
100,0.727,1000,388,"[50, 20]",50,432_L_77_F,High
100,0.727,1000,389,"[50, 20, 10]",50,432_L_77_F,High
100,0.736,2000,540,"[50, 30]",50,432_L_77_F,High
100,0.736,2000,540,"[50, 20]",50,432_L_77_F,High
100,0.736,2000,552,"[50, 20, 10]",50,432_L_77_F,High
100,0.621,500,392,"[50, 30]",57,443_L_73_F,Low
100,0.621,500,384,"[50, 20]",57,443_L_73_F,Low
100,0.621,500,370,"[50, 20, 10]",57,443_L_73_F,Low
100,0.635,1000,453,"[50, 30]",57,443_L_73_F,Low
100,0.635,1000,455,"[50, 20]",57,443_L_73_F,Low
100,0.635,1000,451,"[50, 20, 10]",57,443_L_73_F,Low
100,0.641,2000,598,"[50, 30]",57,443_L_73_F,Low
100,0.641,2000,590,"[50, 20]",57,443_L_73_F,Low
100,0.641,2000,612,"[50, 20, 10]",57,443_L_73_F,Low
1000,0.636,500,310,"[50, 30]",49,432_L_77_F,High
1000,0.636,500,317,"[50, 20]",49,432_L_77_F,High
1000,0.636,500,314,"[50, 20, 10]",49,432_L_77_F,High
1000,0.663,1000,393,"[50, 30]",49,432_L_77_F,High
1000,0.663,1000,394,"[50, 20]",49,432_L_77_F,High
1000,0.663,1000,399,"[50, 20, 10]",49,432_L_77_F,High
1000,0.688,2000,573,"[50, 30]",51,432_L_77_F,High
1000,0.688,2000,588,"[50, 20]",51,432_L_77_F,High
1000,0.688,2000,569,"[50, 20, 10]",51,432_L_77_F,High
1000,0.567,500,386,"[50, 30]",52,443_L_73_F,Low
1000,0.567,500,422,"[50, 20]",52,443_L_73_F,Low
1000,0.567,500,398,"[50, 20, 10]",52,443_L_73_F,Low
1000,0.588,1000,453,"[50, 30]",44,443_L_73_F,Low
1000,0.588,1000,441,"[50, 20]",44,443_L_73_F,Low
1000,0.588,1000,446,"[50, 20, 10]",44,443_L_73_F,Low
1000,0.593,2000,598,"[50, 30]",52,443_L_73_F,Low
1000,0.593,2000,615,"[50, 20]",52,443_L_73_F,Low
1000,0.593,2000,604,"[50, 20, 10]",52,443_L_73_F,Low
10,0.736,2000,537,"[50, 30]",49,432_L_77_F,High
10,0.736,2000,542,"[50, 20]",49,432_L_77_F,High
10,0.736,2000,548,"[50, 20, 10]",49,432_L_77_F,High
10,0.646,2000,620,"[50, 30]",53,443_L_73_F,Low
10,0.646,2000,616,"[50, 20]",53,443_L_73_F,Low
10,0.646,2000,608,"[50, 20, 10]",53,443_L_73_F,Low
1,0.658,2000,594,"[50, 30]",51,443_L_73_F,Low
1,0.658,2000,636,"[50, 20]",51,443_L_73_F,Low
1,0.658,2000,611,"[50, 20, 10]",51,443_L_73_F,Low
1,0.725,2000,578,"[50, 30]",52,432_L_77_F,High
1,0.725,2000,588,"[50, 20]",52,432_L_77_F,High
1,0.725,2000,584,"[50, 20, 10]",52,432_L_77_F,High
1,0.722,1000,388,"[50, 30]",42,432_L_77_F,High
1,0.722,1000,389,"[50, 20]",42,432_L_77_F,High
1,0.722,1000,393,"[50, 20, 10]",42,432_L_77_F,High
1,0.422,500,318,"[50, 30]",39,432_L_77_F,High
1,0.422,500,326,"[50, 20]",39,432_L_77_F,High
1,0.422,500,321,"[50, 20, 10]",39,432_L_77_F,High
1,0.648,500,363,"[50, 30]",40,443_L_73_F,Low
1,0.648,500,377,"[50, 20]",40,443_L_73_F,Low
1,0.648,500,373,"[50, 20, 10]",40,443_L_73_F,Low
1,0.659,1000,440,"[50, 30]",43,443_L_73_F,Low
1,0.659,1000,456,"[50, 20]",43,443_L_73_F,Low
1,0.659,1000,449,"[50, 20, 10]",43,443_L_73_F,Low
10,0.649,1000,440,"[50, 30]",43,443_L_73_F,Low
10,0.649,1000,453,"[50, 20]",43,443_L_73_F,Low
10,0.649,1000,453,"[50, 20, 10]",43,443_L_73_F,Low
10,0.645,500,364,"[50, 30]",40,443_L_73_F,Low
10,0.645,500,375,"[50, 20]",40,443_L_73_F,Low
10,0.645,500,368,"[50, 20, 10]",40,443_L_73_F,Low
10,0.723,500,308,"[50, 30]",37,432_L_77_F,High
10,0.723,500,318,"[50, 20]",37,432_L_77_F,High
10,0.723,500,311,"[50, 20, 10]",37,432_L_77_F,High
10,0.73,1000,386,"[50, 30]",41,432_L_77_F,High
10,0.73,1000,398,"[50, 20]",41,432_L_77_F,High
10,0.73,1000,394,"[50, 20, 10]",41,432_L_77_F,High
