,hFE,hFE,hFE,Experiment,Experiment,Experiment
,Max Displacement (mm),Ultimate Load (N),Stiffness (N/mm),Max Displacement (mm),Ultimate Load (N),Stiffness (N/mm)
0,2.762,6722.9676,34172.033102306836,2.7619557589330435,6272.548883030282,25267.70152824075
1,1.7062292,6255.1261,22852.133282267332,2.610770204341672,6238.965056158868,27311.485547868844
2,1.3980068,2845.0412,13073.538863555379,2.3330108051335317,1621.8332653680548,10977.239727255672
3,1.2186481,3282.4785,15600.294830887047,1.5667761671170766,1352.6521786684084,9798.45308672481
4,1.4458665,4986.1628,24981.275675675683,1.480033021772149,3486.5606015370804,24141.251898198756
5,1.518,4965.5317,24199.036890645588,1.5180191600773365,4116.878606710236,23639.691786868054
6,2.1115094,8756.8199,39029.7691208006,2.7975530625326455,8305.483599830457,45139.45002406797
7,1.308,8621.32,39979.48700305808,1.3075882777179189,8017.881376126555,42506.83471789621
8,1.0785703,12021.464,60319.99180887371,1.4652692951713835,8486.65808901598,47009.54737014418
9,0.7978967,13778.784,66384.60610169491,1.4754558082062323,11501.127592868277,63413.11915216562
10,0.74945543,9551.1981,55126.21652231846,1.5013804858985778,9359.015560582475,47967.94754672251
11,0.82382465,5491.6745,27483.310767246945,1.550572675986932,5031.9278138738855,24224.113114945452
12,0.97932946,9436.032,47672.03936545242,1.7015922154533132,9732.913531381646,46229.032181995346
13,1.3217183,7269.8581,29269.807206364065,2.136988281500545,7857.703451530407,39267.04495800277
14,0.96423154,6438.2376,37492.62075908585,2.837740537058077,4729.129812199953,39353.83042636394
15,0.92972138,23085.637,101642.0331041507,2.8048629553559334,21710.952824205677,110661.137013757
16,0.78307672,16816.214,69088.32866479926,2.4985135659462667,17487.23137968089,84511.3425239297
17,1.349,7596.6037,39352.48183839882,1.3494977863291153,8078.213136230757,43259.32219012034
18,0.42170836,16470.384,78864.53974895396,1.9123231454237986,16713.03543068481,85972.81093796216
19,0.31377491,5873.2239,41703.69904458597,1.2557077114101294,5491.7055926356,48205.20890071128
20,0.78118384,10295.116,56582.772089761565,1.4255316870126418,9926.182211142122,56118.29271622493
21,1.4293642,16834.985,67956.53225806447,2.231779742892449,13855.454834112756,82160.24396417767
22,0.88285812,14626.193,65108.0516431925,1.7035288722317263,14690.079788581374,73009.0108576104
23,1.954,4226.2365,18422.836745138175,1.9535709967838744,4112.395389459501,22941.250528374076
24,1.3853149,4481.9538,15198.467455621301,2.8727307900708277,3959.508183498591,21514.18412607559
