,hFE,hFE,hFE,hFE,Experiment,Experiment,Experiment,Experiment
,MD,Fm,Fmd,S,MD,Fm,Fmd,S
0,2.762,6722.9676,0.34255273,34172.033102306836,2.7619557589330435,6272.548883030282,0.3585172475239487,25267.701528241207
1,1.6596772,6376.9607,0.36513203,32210.893253816266,2.610770204341672,6238.965056158868,0.3469853431566292,27311.48554786863
2,1.3980068,2845.0412,1.0963277,13073.538863555379,2.3330108051335317,1621.8332653680548,0.2102998881396306,10977.239727255526
3,1.567,3538.6071,0.44071875,16949.931078493937,1.5667761671170766,1352.6521786684084,0.197398466838204,9798.4530867247
4,1.48,5032.854,0.296,27101.267567567556,1.480033021772149,3486.5606015370804,0.2293584255966949,24141.251898198792
5,1.518,5171.3521,0.40084688,26167.46245059289,1.5180191600773365,4116.878606710236,0.30002043139409723,23639.691786867956
6,0.85015308,9117.4875,0.41095625,46406.62187276628,2.7975530625326455,8305.483599830457,0.26919249280370333,45139.45002406802
7,1.308,8721.6428,0.3924,42844.73547400611,1.3075882777179189,8017.881376126555,0.27346629845732917,42506.83471789645
8,1.465,12472.519,0.35709375,65971.25392491468,1.4652692951713835,8486.65808901598,0.26650411066568747,47009.54737014423
9,1.475,14189.638,0.35953125,71971.0305084746,1.4754558082062323,11501.127592868277,0.3403312697468444,63413.119152166146
10,1.1135971,10493.084,0.46671719,59589.0039973351,1.5013804858985778,9359.015560582475,0.3053443846102765,47967.9475467227
11,1.1057661,5598.9037,0.30050625,29772.8033526757,1.550572675986932,5031.9278138738855,0.3273349980888884,24224.113114945256
12,0.99609828,10426.824,0.57176563,56648.01678697331,1.7015922154533132,9732.913531381646,0.3096918644770334,46229.032181995404
13,1.2534505,7650.5646,0.63776094,31164.211511464684,2.136988281500545,7857.703451530407,0.27765980106923077,39267.04495800294
14,1.2971242,6662.1332,0.2838,54668.81042988021,2.837740537058077,4729.129812199953,0.2067712449169688,39353.83042636564
15,0.94782066,23659.735,0.3155625,119985.56862745096,2.8048629553559334,21710.952824205677,0.2771205756387286,110661.13701375652
16,1.2533315,18146.419,0.51102598,89171.87903732924,2.4985135659462667,17487.23137968089,0.671840634586319,84511.34252392814
17,1.349,7900.248,0.4047,42643.90511489992,1.3494977863291153,8078.213136230757,0.2637948506618294,43259.32219012015
18,1.2517301,18278.575,1.0426375,82191.57461480502,1.9123231454237986,16713.03543068481,0.6425557852429192,85972.81093796136
19,1.256,6271.2672,0.24114219,51209.13512283893,1.2557077114101294,5491.7055926356,0.17630701140867328,48205.20890071195
20,0.97639042,10922.622,0.35872813,61565.21248246845,1.4255316870126418,9926.182211142122,0.30216682696539093,56118.292716225034
21,1.8188423,16795.237,0.3069,85223.37301587297,2.231779742892449,13855.454834112756,0.45567363354327894,82160.24396417667
22,1.4457787,15321.95,0.5138625,70765.14671361503,1.7035288722317263,14690.079788581374,0.3085934569994918,73009.0108576104
23,1.954,4426.854,0.55566875,19667.059365404297,1.9535709967838744,4112.395389459501,0.26909491306085015,22941.250528374134
24,2.873,4704.8196,0.51964406,22393.371189896083,2.8727307900708277,3959.508183498591,0.2896054747659063,21514.184126075572
