Step,Frame,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,X,Y,Z,F11,F12,F13,F21,F22,F23,F31,F32,F33,DMG,E1,E2,E3,E4,E5,E6,S1,S2,S3,S4,S5,S6,Ep1,Ep2,Ep3,Ep4,Ep5,Ep6
0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0003186000103596598,0.0003186000103596598,-0.0008999999845400453,-3.6845933205562065e-20,-1.1434944787933055e-19,2.202285662861181e-20,-1.1102230246251565e-15,2.220446049250313e-16,-13.563360214233398,-1.165122009263566e-16,-4.612092280217297e-16,8.882548644236149e-17,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0006372000207193196,0.0006372000207193196,-0.0017999999690800905,4.404571325722362e-20,-9.910285482875314e-20,-4.743384504624082e-20,0.0,8.881784197001252e-16,-27.126720428466797,1.392789510060047e-16,-3.997146889906267e-16,-1.9131643335546243e-16,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0011150999926030636,0.0011150999926030636,-0.0031500000040978193,8.216219588366713e-20,-2.668153783851046e-20,4.1928130889087867e-20,-5.329070518200751e-15,-3.552713678800501e-15,-47.47175979614258,2.5980882772453544e-16,-1.0761548962654456e-16,1.6911006174487206e-16,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0017522999551147223,0.0017522999551147223,-0.00494999997317791,3.1848438816761693e-19,4.955142741437657e-20,-1.32560656245298e-19,0.0,3.552713678800501e-15,-74.59848022460938,1.0070940104398669e-15,1.9985734449531336e-16,-5.346610664714257e-16,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.002389499917626381,0.002389499917626381,-0.006750000175088644,2.2996944517954254e-19,-2.8926175148734357e-19,-1.9524109434211623e-19,-6.217248937900877e-15,8.881784197001252e-16,-101.7251968383789,7.271968434591301e-16,-1.1666885702297332e-15,-7.874720785626605e-16,0.0,0.0,0.0,0.0,0.0,0.0
0.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0030267001129686832,0.0030267001129686832,-0.008550000376999378,-5.886878983417387e-20,-2.3251054402130544e-19,-2.1726395097072804e-19,0.0,-1.7763568394002505e-15,-128.85191345214844,-1.8615167642935894e-16,-9.37792104036125e-16,-8.76297565005022e-16,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.033609263598918915,0.006799035239964724,0.006799035239964724,-0.010350000113248825,-4.281751548370488e-19,5.209252625613947e-20,4.586683409382036e-19,-0.00026348463143222034,-0.00026348463143222034,-136.09918212890625,-9.818415230624928e-16,1.6363440402245683e-16,1.4407809145438179e-15,0.0034909311216324568,0.0034909311216324568,-0.0010050414130091667,-1.0687807470576457e-19,1.0111029292844863e-20,8.902637971352797e-20
0.0,8.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0768275186419487,0.011662253178656101,0.011662253178656101,-0.012149999849498272,-3.841294415798252e-19,1.4039571100740028e-18,1.5208476567950963e-18,-0.016793353483080864,-0.016793353483080864,-136.21400451660156,-5.666809765204471e-16,3.961614598922778e-15,4.069548195743131e-15,0.008197400718927383,0.008197400718927383,-0.0023601457942277193,-1.9000781987452586e-19,3.3999677096070695e-19,4.2789983294003937e-19
0.0,9.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.11772926896810532,0.01652398891746998,0.01652398891746998,-0.013949999585747719,-4.518920773601692e-19,7.229426204815453e-19,2.0146678650443534e-18,-2.9077259711129955e-08,-2.907724727663208e-08,-136.09735107421875,-5.18486495887572e-16,1.0512843545728342e-15,4.356084618722684e-15,0.012900506146252155,0.012900506146252155,-0.003714171005412936,-2.66045867770883e-19,4.275127382627587e-19,7.905295320805101e-19
