Step,Frame,Label,X,Y,Z,Ux,Uy,Uz,Fx,Fy,Fz
0.0,0.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.0,0.0,2.0,0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,0.0,3.0,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,0.0,4.0,-0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,0.0,5.0,-0.5,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,0.0,6.0,0.5,-0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,0.0,7.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,0.0,8.0,-0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,1.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,9.999999747378752e-05,8.463616092690973e-13,8.463437199332513e-13,0.7537021040916443
0.0,1.0,2.0,0.5,-0.5,-0.5,7.080932118697092e-05,-2.3150852939579636e-05,9.999999747378752e-05,0.0,0.0,0.7537021040916443
0.0,1.0,3.0,0.5,0.5,-0.5,9.396017412655056e-05,4.7658468247391284e-05,9.999999747378752e-05,0.0,0.0,0.7537021040916443
0.0,1.0,4.0,-0.5,0.5,-0.5,2.3150852939579636e-05,7.080932118697092e-05,9.999999747378752e-05,0.0,0.0,0.7537021040916443
0.0,1.0,5.0,-0.5,-0.5,0.5,4.1865197307874213e-20,-3.021194469288678e-20,-9.999999747378752e-05,0.0,0.0,-0.7537021040916443
0.0,1.0,6.0,0.5,-0.5,0.5,7.080932118697092e-05,-2.3150852939579636e-05,-9.999999747378752e-05,0.0,0.0,-0.7537021040916443
0.0,1.0,7.0,0.5,0.5,0.5,9.396017412655056e-05,4.7658468247391284e-05,-9.999999747378752e-05,0.0,0.0,-0.7537021040916443
0.0,1.0,8.0,-0.5,0.5,0.5,2.3150852939579636e-05,7.080932118697092e-05,-9.999999747378752e-05,0.0,0.0,-0.7537021040916443
0.0,2.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.00019999999494757503,-6.913513317385878e-08,-6.912939198855383e-08,1.5077685117721558
0.0,2.0,2.0,0.5,-0.5,-0.5,0.0001416375016560778,-4.150559107074514e-05,0.00019999999494757503,0.0,0.0,1.5077685117721558
0.0,2.0,3.0,0.5,0.5,-0.5,0.00018314310000278056,0.00010013191786129028,0.00019999999494757503,0.0,0.0,1.5077685117721558
0.0,2.0,4.0,-0.5,0.5,-0.5,4.150559107074514e-05,0.0001416375016560778,0.00019999999494757503,0.0,0.0,1.5077685117721558
0.0,2.0,5.0,-0.5,-0.5,0.5,-4.90926240943645e-21,3.9525998390233874e-20,-0.00019999999494757503,0.0,0.0,-1.5077685117721558
0.0,2.0,6.0,0.5,-0.5,0.5,0.0001416375016560778,-4.150559107074514e-05,-0.00019999999494757503,0.0,0.0,-1.5077685117721558
0.0,2.0,7.0,0.5,0.5,0.5,0.00018314310000278056,0.00010013191786129028,-0.00019999999494757503,0.0,0.0,-1.5077685117721558
0.0,2.0,8.0,-0.5,0.5,0.5,4.150559107074514e-05,0.0001416375016560778,-0.00019999999494757503,0.0,0.0,-1.5077685117721558
0.0,3.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0003499999875202775,4.307264614422657e-12,4.307180914014941e-12,2.639551877975464
0.0,3.0,2.0,0.5,-0.5,-0.5,0.0002479151007719338,-6.903768371557817e-05,0.0003499999875202775,0.0,0.0,2.639551877975464
0.0,3.0,3.0,0.5,0.5,-0.5,0.0003169527917634696,0.00017887742433231324,0.0003499999875202775,0.0,0.0,2.639551877975464
0.0,3.0,4.0,-0.5,0.5,-0.5,6.903768371557817e-05,0.0002479151007719338,0.0003499999875202775,0.0,0.0,2.639551877975464
0.0,3.0,5.0,-0.5,-0.5,0.5,1.7153190078784436e-19,1.1199953115664396e-19,-0.0003499999875202775,0.0,0.0,-2.639551877975464
0.0,3.0,6.0,0.5,-0.5,0.5,0.0002479151007719338,-6.903768371557817e-05,-0.0003499999875202775,0.0,0.0,-2.639551877975464
0.0,3.0,7.0,0.5,0.5,0.5,0.0003169527917634696,0.00017887742433231324,-0.0003499999875202775,0.0,0.0,-2.639551877975464
0.0,3.0,8.0,-0.5,0.5,0.5,6.903768371557817e-05,0.0002479151007719338,-0.0003499999875202775,0.0,0.0,-2.639551877975464
0.0,4.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0005499999970197678,-1.370009726997523e-06,-1.3696616179004195e-06,4.149872303009033
0.0,4.0,2.0,0.5,-0.5,-0.5,0.0003896823909599334,-0.00012709986185654998,0.0005499999970197678,0.0,0.0,4.149872303009033
0.0,4.0,3.0,0.5,0.5,-0.5,0.0005167822237126529,0.0002625825291033834,0.0005499999970197678,0.0,0.0,4.149872303009033
0.0,4.0,4.0,-0.5,0.5,-0.5,0.00012709986185654998,0.0003896823909599334,0.0005499999970197678,0.0,0.0,4.149872303009033
0.0,4.0,5.0,-0.5,-0.5,0.5,1.509125628635819e-19,3.4099652212855385e-19,-0.0005499999970197678,0.0,0.0,-4.149872303009033
0.0,4.0,6.0,0.5,-0.5,0.5,0.0003896823909599334,-0.00012709986185654998,-0.0005499999970197678,0.0,0.0,-4.149872303009033
0.0,4.0,7.0,0.5,0.5,0.5,0.0005167822237126529,0.0002625825291033834,-0.0005499999970197678,0.0,0.0,-4.149872303009033
0.0,4.0,8.0,-0.5,0.5,0.5,0.00012709986185654998,0.0003896823909599334,-0.0005499999970197678,0.0,0.0,-4.149872303009033
0.0,5.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.000750000006519258,1.7768314597432777e-11,1.776126294650293e-11,5.661656856536865
0.0,5.0,2.0,0.5,-0.5,-0.5,0.0005315227317623794,-0.00018516190175432712,0.000750000006519258,0.0,0.0,5.661656856536865
0.0,5.0,3.0,0.5,0.5,-0.5,0.0007166846189647913,0.00034636081545613706,0.000750000006519258,0.0,0.0,5.661656856536865
0.0,5.0,4.0,-0.5,0.5,-0.5,0.00018516190175432712,0.0005315227317623794,0.000750000006519258,0.0,0.0,5.661656856536865
0.0,5.0,5.0,-0.5,-0.5,0.5,-6.86091000409272e-19,4.543976591343806e-19,-0.000750000006519258,0.0,0.0,-5.661656856536865
0.0,5.0,6.0,0.5,-0.5,0.5,0.0005315227317623794,-0.00018516190175432712,-0.000750000006519258,0.0,0.0,-5.661656856536865
0.0,5.0,7.0,0.5,0.5,0.5,0.0007166846189647913,0.00034636081545613706,-0.000750000006519258,0.0,0.0,-5.661656856536865
0.0,5.0,8.0,-0.5,0.5,0.5,0.00018516190175432712,0.0005315227317623794,-0.000750000006519258,0.0,0.0,-5.661656856536865
0.0,6.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0009500000160187483,-3.435072892798985e-09,-3.433410444841911e-09,7.174903392791748
0.0,6.0,2.0,0.5,-0.5,-0.5,0.0006734371418133378,-0.00024214715813286602,0.0009500000160187483,0.0,0.0,7.174903392791748
0.0,6.0,3.0,0.5,0.5,-0.5,0.0009155843290500343,0.00043129001278430223,0.0009500000160187483,0.0,0.0,7.174903392791748
0.0,6.0,4.0,-0.5,0.5,-0.5,0.00024214715813286602,0.0006734371418133378,0.0009500000160187483,0.0,0.0,7.174903392791748
0.0,6.0,5.0,-0.5,-0.5,0.5,4.846503424724357e-19,4.0993305644508134e-19,-0.0009500000160187483,0.0,0.0,-7.174903392791748
0.0,6.0,6.0,0.5,-0.5,0.5,0.0006734371418133378,-0.00024214715813286602,-0.0009500000160187483,0.0,0.0,-7.174903392791748
0.0,6.0,7.0,0.5,0.5,0.5,0.0009155843290500343,0.00043129001278430223,-0.0009500000160187483,0.0,0.0,-7.174903392791748
0.0,6.0,8.0,-0.5,0.5,0.5,0.00024214715813286602,0.0006734371418133378,-0.0009500000160187483,0.0,0.0,-7.174903392791748
0.0,7.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0011500000255182385,1.8200607687646198e-11,1.8188561767829015e-11,8.689615249633789
0.0,7.0,2.0,0.5,-0.5,-0.5,0.0008154253591783345,-0.000299132545478642,0.0011500000255182385,0.0,0.0,8.689615249633789
0.0,7.0,3.0,0.5,0.5,-0.5,0.0011145579628646374,0.0005162928136996925,0.0011500000255182385,0.0,0.0,8.689615249633789
0.0,7.0,4.0,-0.5,0.5,-0.5,0.000299132545478642,0.0008154253591783345,0.0011500000255182385,0.0,0.0,8.689615249633789
0.0,7.0,5.0,-0.5,-0.5,0.5,-2.5484214581355267e-19,8.863136865929122e-19,-0.0011500000255182385,0.0,0.0,-8.689615249633789
0.0,7.0,6.0,0.5,-0.5,0.5,0.0008154253591783345,-0.000299132545478642,-0.0011500000255182385,0.0,0.0,-8.689615249633789
0.0,7.0,7.0,0.5,0.5,0.5,0.0011145579628646374,0.0005162928136996925,-0.0011500000255182385,0.0,0.0,-8.689615249633789
0.0,7.0,8.0,-0.5,0.5,0.5,0.000299132545478642,0.0008154253591783345,-0.0011500000255182385,0.0,0.0,-8.689615249633789
0.0,8.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0013500000350177288,-7.66687602293814e-09,-7.661446588258514e-09,10.205794334411621
0.0,8.0,2.0,0.5,-0.5,-0.5,0.0009574880241416395,-0.00035451291478239,0.0013500000350177288,0.0,0.0,10.205794334411621
0.0,8.0,3.0,0.5,0.5,-0.5,0.001312000909820199,0.000602975080255419,0.0013500000350177288,0.0,0.0,10.205794334411621
0.0,8.0,4.0,-0.5,0.5,-0.5,0.00035451291478239,0.0009574880241416395,0.0013500000350177288,0.0,0.0,10.205794334411621
0.0,8.0,5.0,-0.5,-0.5,0.5,-1.5682775727334275e-19,1.5329280092559738e-19,-0.0013500000350177288,0.0,0.0,-10.205794334411621
0.0,8.0,6.0,0.5,-0.5,0.5,0.0009574880241416395,-0.00035451291478239,-0.0013500000350177288,0.0,0.0,-10.205794334411621
0.0,8.0,7.0,0.5,0.5,0.5,0.001312000909820199,0.000602975080255419,-0.0013500000350177288,0.0,0.0,-10.205794334411621
0.0,8.0,8.0,-0.5,0.5,0.5,0.00035451291478239,0.0009574880241416395,-0.0013500000350177288,0.0,0.0,-10.205794334411621
0.0,9.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.001550000044517219,1.8186835717970418e-11,1.8171405352651604e-11,11.723443031311035
0.0,9.0,2.0,0.5,-0.5,-0.5,0.0010996247874572873,-0.00040988079854287207,0.001550000044517219,0.0,0.0,11.723443031311035
0.0,9.0,3.0,0.5,0.5,-0.5,0.0015095056733116508,0.0006897440180182457,0.001550000044517219,0.0,0.0,11.723443031311035
0.0,9.0,4.0,-0.5,0.5,-0.5,0.00040988079854287207,0.0010996247874572873,0.001550000044517219,0.0,0.0,11.723443031311035
0.0,9.0,5.0,-0.5,-0.5,0.5,-7.101322811300897e-19,2.0690089008499592e-19,-0.001550000044517219,0.0,0.0,-11.723443031311035
0.0,9.0,6.0,0.5,-0.5,0.5,0.0010996247874572873,-0.00040988079854287207,-0.001550000044517219,0.0,0.0,-11.723443031311035
0.0,9.0,7.0,0.5,0.5,0.5,0.0015095056733116508,0.0006897440180182457,-0.001550000044517219,0.0,0.0,-11.723443031311035
0.0,9.0,8.0,-0.5,0.5,0.5,0.00040988079854287207,0.0010996247874572873,-0.001550000044517219,0.0,0.0,-11.723443031311035
0.0,10.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0017500000540167093,-1.8195133861809154e-06,-1.817733846110059e-06,13.242561340332031
0.0,10.0,2.0,0.5,-0.5,-0.5,0.0012418243568390608,-0.0004898910410702229,0.0017500000540167093,0.0,0.0,13.242561340332031
0.0,10.0,3.0,0.5,0.5,-0.5,0.0017317153979092836,0.0007519333157688379,0.0017500000540167093,0.0,0.0,13.242561340332031
0.0,10.0,4.0,-0.5,0.5,-0.5,0.0004898910410702229,0.0012418243568390608,0.0017500000540167093,0.0,0.0,13.242561340332031
0.0,10.0,5.0,-0.5,-0.5,0.5,2.771464247961915e-19,1.1221428792317804e-18,-0.0017500000540167093,0.0,0.0,-13.242561340332031
0.0,10.0,6.0,0.5,-0.5,0.5,0.0012418243568390608,-0.0004898910410702229,-0.0017500000540167093,0.0,0.0,-13.242561340332031
0.0,10.0,7.0,0.5,0.5,0.5,0.0017317153979092836,0.0007519333157688379,-0.0017500000540167093,0.0,0.0,-13.242561340332031
0.0,10.0,8.0,-0.5,0.5,0.5,0.0004898910410702229,0.0012418243568390608,-0.0017500000540167093,0.0,0.0,-13.242561340332031
0.0,11.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0019499999471008778,1.61405108028978e-11,1.6121760176845967e-11,14.763154029846191
0.0,11.0,2.0,0.5,-0.5,-0.5,0.0013840942410752177,-0.0005699012544937432,0.0019499999471008778,0.0,0.0,14.763154029846191
0.0,11.0,3.0,0.5,0.5,-0.5,0.001953995553776622,0.0008141929865814745,0.0019499999471008778,0.0,0.0,14.763154029846191
0.0,11.0,4.0,-0.5,0.5,-0.5,0.0005699012544937432,0.0013840942410752177,0.0019499999471008778,0.0,0.0,14.763154029846191
0.0,11.0,5.0,-0.5,-0.5,0.5,8.901035179669005e-19,8.538231178063833e-19,-0.0019499999471008778,0.0,0.0,-14.763154029846191
0.0,11.0,6.0,0.5,-0.5,0.5,0.0013840942410752177,-0.0005699012544937432,-0.0019499999471008778,0.0,0.0,-14.763154029846191
0.0,11.0,7.0,0.5,0.5,0.5,0.001953995553776622,0.0008141929865814745,-0.0019499999471008778,0.0,0.0,-14.763154029846191
0.0,11.0,8.0,-0.5,0.5,0.5,0.0005699012544937432,0.0013840942410752177,-0.0019499999471008778,0.0,0.0,-14.763154029846191
0.0,12.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.00215000007301569,-7.774420964778983e-07,-7.764087968098465e-07,16.285221099853516
0.0,12.0,2.0,0.5,-0.5,-0.5,0.0015264248941093683,-0.0006660236977040768,0.00215000007301569,0.0,0.0,16.285221099853516
0.0,12.0,3.0,0.5,0.5,-0.5,0.002192448591813445,0.0008604012546129525,0.00215000007301569,0.0,0.0,16.285221099853516
0.0,12.0,4.0,-0.5,0.5,-0.5,0.0006660236977040768,0.0015264248941093683,0.00215000007301569,0.0,0.0,16.285221099853516
0.0,12.0,5.0,-0.5,-0.5,0.5,-1.0141134014250847e-18,3.517223404869817e-19,-0.00215000007301569,0.0,0.0,-16.285221099853516
0.0,12.0,6.0,0.5,-0.5,0.5,0.0015264248941093683,-0.0006660236977040768,-0.00215000007301569,0.0,0.0,-16.285221099853516
0.0,12.0,7.0,0.5,0.5,0.5,0.002192448591813445,0.0008604012546129525,-0.00215000007301569,0.0,0.0,-16.285221099853516
0.0,12.0,8.0,-0.5,0.5,0.5,0.0006660236977040768,0.0015264248941093683,-0.00215000007301569,0.0,0.0,-16.285221099853516
0.0,13.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0023499999660998583,1.4921513677434994e-11,1.4898200728641342e-11,17.808765411376953
0.0,13.0,2.0,0.5,-0.5,-0.5,0.0016688236501067877,-0.000762145675253123,0.0023499999660998583,0.0,0.0,17.808765411376953
0.0,13.0,3.0,0.5,0.5,-0.5,0.0024309693835675716,0.0009066779748536646,0.0023499999660998583,0.0,0.0,17.808765411376953
0.0,13.0,4.0,-0.5,0.5,-0.5,0.000762145675253123,0.0016688236501067877,0.0023499999660998583,0.0,0.0,17.808765411376953
0.0,13.0,5.0,-0.5,-0.5,0.5,-1.1197776596677616e-18,2.639629946767318e-20,-0.0023499999660998583,0.0,0.0,-17.808765411376953
0.0,13.0,6.0,0.5,-0.5,0.5,0.0016688236501067877,-0.000762145675253123,-0.0023499999660998583,0.0,0.0,-17.808765411376953
0.0,13.0,7.0,0.5,0.5,0.5,0.0024309693835675716,0.0009066779748536646,-0.0023499999660998583,0.0,0.0,-17.808765411376953
0.0,13.0,8.0,-0.5,0.5,0.5,0.000762145675253123,0.0016688236501067877,-0.0023499999660998583,0.0,0.0,-17.808765411376953
0.0,14.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0025500000920146704,-5.707458967663115e-06,-5.6971907724800985e-06,19.333782196044922
0.0,14.0,2.0,0.5,-0.5,-0.5,0.0018112534889951348,-0.000901950232218951,0.0025500000920146704,0.0,0.0,19.333782196044922
0.0,14.0,3.0,0.5,0.5,-0.5,0.002713203663006425,0.0009093031985685229,0.0025500000920146704,0.0,0.0,19.333782196044922
0.0,14.0,4.0,-0.5,0.5,-0.5,0.000901950232218951,0.0018112534889951348,0.0025500000920146704,0.0,0.0,19.333782196044922
0.0,14.0,5.0,-0.5,-0.5,0.5,-1.0292778967998662e-18,3.8998058119090147e-19,-0.0025500000920146704,0.0,0.0,-19.333782196044922
0.0,14.0,6.0,0.5,-0.5,0.5,0.0018112534889951348,-0.000901950232218951,-0.0025500000920146704,0.0,0.0,-19.333782196044922
0.0,14.0,7.0,0.5,0.5,0.5,0.002713203663006425,0.0009093031985685229,-0.0025500000920146704,0.0,0.0,-19.333782196044922
0.0,14.0,8.0,-0.5,0.5,0.5,0.000901950232218951,0.0018112534889951348,-0.0025500000920146704,0.0,0.0,-19.333782196044922
0.0,15.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.002749999985098839,9.20220843969588e-12,9.181670181102053e-12,20.86029052734375
0.0,15.0,2.0,0.5,-0.5,-0.5,0.0019537394400686026,-0.0010417548473924398,0.002749999985098839,0.0,0.0,20.86029052734375
0.0,15.0,3.0,0.5,0.5,-0.5,0.0029954942874610424,0.0009119845926761627,0.002749999985098839,0.0,0.0,20.86029052734375
0.0,15.0,4.0,-0.5,0.5,-0.5,0.0010417548473924398,0.0019537394400686026,0.002749999985098839,0.0,0.0,20.86029052734375
0.0,15.0,5.0,-0.5,-0.5,0.5,3.788758107143478e-19,-6.489992911642051e-19,-0.002749999985098839,0.0,0.0,-20.86029052734375
0.0,15.0,6.0,0.5,-0.5,0.5,0.0019537394400686026,-0.0010417548473924398,-0.002749999985098839,0.0,0.0,-20.86029052734375
0.0,15.0,7.0,0.5,0.5,0.5,0.0029954942874610424,0.0009119845926761627,-0.002749999985098839,0.0,0.0,-20.86029052734375
0.0,15.0,8.0,-0.5,0.5,0.5,0.0010417548473924398,0.0019537394400686026,-0.002749999985098839,0.0,0.0,-20.86029052734375
0.0,16.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.002950000111013651,-1.9853762296406785e-06,-1.980597971851239e-06,22.388273239135742
0.0,16.0,2.0,0.5,-0.5,-0.5,0.002096254378557205,-0.0012073274701833725,0.002950000111013651,0.0,0.0,22.388273239135742
0.0,16.0,3.0,0.5,0.5,-0.5,0.0033035818487405777,0.0008889268501661718,0.002950000111013651,0.0,0.0,22.388273239135742
0.0,16.0,4.0,-0.5,0.5,-0.5,0.0012073274701833725,0.002096254378557205,0.002950000111013651,0.0,0.0,22.388273239135742
0.0,16.0,5.0,-0.5,-0.5,0.5,1.640770440846656e-18,2.218536866765704e-18,-0.002950000111013651,0.0,0.0,-22.388273239135742
0.0,16.0,6.0,0.5,-0.5,0.5,0.002096254378557205,-0.0012073274701833725,-0.002950000111013651,0.0,0.0,-22.388273239135742
0.0,16.0,7.0,0.5,0.5,0.5,0.0033035818487405777,0.0008889268501661718,-0.002950000111013651,0.0,0.0,-22.388273239135742
0.0,16.0,8.0,-0.5,0.5,0.5,0.0012073274701833725,0.002096254378557205,-0.002950000111013651,0.0,0.0,-22.388273239135742
0.0,17.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0031500000040978193,6.789992613304152e-12,6.773011405197815e-12,23.917743682861328
