Step,Frame,Label,X,Y,Z,Ux,Uy,Uz,Fx,Fy,Fz
0.0,0.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.0,0.0,2.0,0.5,-0.5,-0.5,0.0,0.0,0.0,0.0,-0.0,-0.0
0.0,0.0,3.0,0.5,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,0.0,4.0,-0.5,0.5,-0.5,0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,0.0,5.0,-0.5,-0.5,0.5,0.0,0.0,0.0,-0.0,-0.0,-0.0
0.0,0.0,6.0,0.5,-0.5,0.5,0.0,0.0,0.0,0.0,-0.0,-0.0
0.0,0.0,7.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,0.0,8.0,-0.5,0.5,0.5,0.0,0.0,0.0,-0.0,0.0,-0.0
0.0,1.0,1.0,-0.5,-0.5,-0.5,0.0,-0.0,9.999999747378752e-05,-1.242776136983268e-16,-7.437186843164682e-17,0.7535200119018555
0.0,1.0,2.0,0.5,-0.5,-0.5,7.080000068526715e-05,0.0,9.999999747378752e-05,0.0,-1.311878275960356e-16,0.7535200119018555
0.0,1.0,3.0,0.5,0.5,-0.5,7.080000068526715e-05,7.080000068526715e-05,9.999999747378752e-05,0.0,0.0,0.7535200119018555
0.0,1.0,4.0,-0.5,0.5,-0.5,-0.0,7.080000068526715e-05,9.999999747378752e-05,-3.520392592290449e-18,0.0,0.7535200119018555
0.0,1.0,5.0,-0.5,-0.5,0.5,0.0,0.0,-9.999999747378752e-05,-1.3529156987658467e-16,-1.1407364601077067e-16,-0.7535200119018555
0.0,1.0,6.0,0.5,-0.5,0.5,7.080000068526715e-05,0.0,-9.999999747378752e-05,0.0,-1.678239480935848e-16,-0.7535200119018555
0.0,1.0,7.0,0.5,0.5,0.5,7.080000068526715e-05,7.080000068526715e-05,-9.999999747378752e-05,0.0,0.0,-0.7535200119018555
0.0,1.0,8.0,-0.5,0.5,0.5,-0.0,7.080000068526715e-05,-9.999999747378752e-05,-9.26201245628893e-18,0.0,-0.7535200119018555
0.0,2.0,1.0,-0.5,-0.5,-0.5,-0.0,-0.0,0.00019999999494757503,1.0487920924744364e-16,1.497872384409191e-17,1.507040023803711
0.0,2.0,2.0,0.5,-0.5,-0.5,0.0001416000013705343,-0.0,0.00019999999494757503,0.0,6.018591944970941e-17,1.507040023803711
0.0,2.0,3.0,0.5,0.5,-0.5,0.0001416000013705343,0.0001416000013705343,0.00019999999494757503,0.0,0.0,1.507040023803711
0.0,2.0,4.0,-0.5,0.5,-0.5,-0.0,0.0001416000013705343,0.00019999999494757503,8.33332586379156e-17,0.0,1.507040023803711
0.0,2.0,5.0,-0.5,-0.5,0.5,-0.0,-0.0,-0.00019999999494757503,5.067988374963366e-17,5.271937613204134e-18,-1.507040023803711
0.0,2.0,6.0,0.5,-0.5,0.5,0.0001416000013705343,-0.0,-0.00019999999494757503,0.0,2.364682889237389e-17,-1.507040023803711
0.0,2.0,7.0,0.5,0.5,0.5,0.0001416000013705343,0.0001416000013705343,-0.00019999999494757503,0.0,0.0,-1.507040023803711
0.0,2.0,8.0,-0.5,0.5,0.5,-0.0,0.0001416000013705343,-0.00019999999494757503,-1.6847745055600375e-17,0.0,-1.507040023803711
0.0,3.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0003499999875202775,5.317256936450506e-17,-3.177241430102317e-17,2.637320041656494
0.0,3.0,2.0,0.5,-0.5,-0.5,0.0002477999951224774,0.0,0.0003499999875202775,0.0,1.570214519535297e-18,2.637320041656494
0.0,3.0,3.0,0.5,0.5,-0.5,0.0002477999951224774,0.0002477999951224774,0.0003499999875202775,0.0,0.0,2.637320041656494
0.0,3.0,4.0,-0.5,0.5,-0.5,0.0,0.0002477999951224774,0.0003499999875202775,-6.0442376872464126e-18,0.0,2.637320041656494
0.0,3.0,5.0,-0.5,-0.5,0.5,0.0,0.0,-0.0003499999875202775,-4.891714201194846e-17,-8.193335802156556e-17,-2.637320041656494
0.0,3.0,6.0,0.5,-0.5,0.5,0.0002477999951224774,0.0,-0.0003499999875202775,0.0,4.274661617904174e-17,-2.637320041656494
0.0,3.0,7.0,0.5,0.5,0.5,0.0002477999951224774,0.0002477999951224774,-0.0003499999875202775,0.0,0.0,-2.637320041656494
0.0,3.0,8.0,-0.5,0.5,0.5,0.0,0.0002477999951224774,-0.0003499999875202775,1.1975001083701576e-16,0.0,-2.637320041656494
0.0,4.0,1.0,-0.5,-0.5,-0.5,-0.0,-0.0,0.0005499999970197678,2.5045948650225684e-17,-1.1839408190125811e-18,4.144360065460205
0.0,4.0,2.0,0.5,-0.5,-0.5,0.0003893999964930117,-0.0,0.0005499999970197678,0.0,-1.6246166043720365e-16,4.144360065460205
0.0,4.0,3.0,0.5,0.5,-0.5,0.0003893999964930117,0.0003893999964930117,0.0005499999970197678,0.0,0.0,4.144360065460205
0.0,4.0,4.0,-0.5,0.5,-0.5,-0.0,0.0003893999964930117,0.0005499999970197678,-1.5427781338928981e-16,0.0,4.144360065460205
0.0,4.0,5.0,-0.5,-0.5,0.5,-0.0,-0.0,-0.0005499999970197678,-1.098640974037087e-16,-1.6690093364398384e-16,-4.144360065460205
0.0,4.0,6.0,0.5,-0.5,0.5,0.0003893999964930117,0.0,-0.0005499999970197678,0.0,4.41852710342705e-18,-4.144360065460205
0.0,4.0,7.0,0.5,0.5,0.5,0.0003893999964930117,0.0003893999964930117,-0.0005499999970197678,0.0,0.0,-4.144360065460205
0.0,4.0,8.0,-0.5,0.5,0.5,0.0,0.0003893999964930117,-0.0005499999970197678,1.0112468276917975e-17,0.0,-4.144360065460205
0.0,5.0,1.0,-0.5,-0.5,-0.5,-0.0,0.0,0.000750000006519258,3.91180276181668e-16,-3.5974595706677486e-16,5.651400089263916
0.0,5.0,2.0,0.5,-0.5,-0.5,0.0005310000269673765,-0.0,0.000750000006519258,0.0,1.51579139949558e-16,5.651400089263916
0.0,5.0,3.0,0.5,0.5,-0.5,0.0005310000269673765,0.0005310000269673765,0.000750000006519258,0.0,0.0,5.651400089263916
0.0,5.0,4.0,-0.5,0.5,-0.5,-0.0,0.0005310000269673765,0.000750000006519258,3.931954734423044e-16,0.0,5.651400089263916
0.0,5.0,5.0,-0.5,-0.5,0.5,-0.0,-0.0,-0.000750000006519258,4.049478173574414e-16,-2.596603057911903e-16,-5.651400089263916
0.0,5.0,6.0,0.5,-0.5,0.5,0.0005310000269673765,-0.0,-0.000750000006519258,0.0,1.6251579113648912e-16,-5.651400089263916
0.0,5.0,7.0,0.5,0.5,0.5,0.0005310000269673765,0.0005310000269673765,-0.000750000006519258,0.0,0.0,-5.651400089263916
0.0,5.0,8.0,-0.5,0.5,0.5,-0.0,0.0005310000269673765,-0.000750000006519258,2.6784415283910416e-16,0.0,-5.651400089263916
0.0,6.0,1.0,-0.5,-0.5,-0.5,-0.0,-0.0,0.0009500000160187483,3.822311878054691e-16,3.8741852345357286e-16,7.158440113067627
0.0,6.0,2.0,0.5,-0.5,-0.5,0.0006725999992340803,0.0,0.0009500000160187483,0.0,2.3186769895389863e-16,7.158440113067627
0.0,6.0,3.0,0.5,0.5,-0.5,0.0006725999992340803,0.0006725999992340803,0.0009500000160187483,0.0,0.0,7.158440113067627
0.0,6.0,4.0,-0.5,0.5,-0.5,-0.0,0.0006725999992340803,0.0009500000160187483,3.651639503743278e-16,0.0,7.158440113067627
0.0,6.0,5.0,-0.5,-0.5,0.5,0.0,0.0,-0.0009500000160187483,1.1709642866683545e-16,2.090536076734329e-16,-7.158440113067627
0.0,6.0,6.0,0.5,-0.5,0.5,0.0006725999992340803,0.0,-0.0009500000160187483,0.0,3.3739434577551e-16,-7.158440113067627
0.0,6.0,7.0,0.5,0.5,0.5,0.0006725999992340803,0.0006725999992340803,-0.0009500000160187483,0.0,0.0,-7.158440113067627
0.0,6.0,8.0,-0.5,0.5,0.5,-0.0,0.0006725999992340803,-0.0009500000160187483,4.1226491147229767e-16,0.0,-7.158440113067627
0.0,7.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0011500000255182385,-5.049902964224956e-16,2.2153684837782176e-16,8.66547966003418
0.0,7.0,2.0,0.5,-0.5,-0.5,0.0008141999715007842,0.0,0.0011500000255182385,0.0,-2.6982838045760656e-16,8.66547966003418
0.0,7.0,3.0,0.5,0.5,-0.5,0.0008141999715007842,0.0008141999715007842,0.0011500000255182385,0.0,0.0,8.66547966003418
0.0,7.0,4.0,-0.5,0.5,-0.5,0.0,0.0008141999715007842,0.0011500000255182385,-3.1580456121096153e-16,0.0,8.66547966003418
0.0,7.0,5.0,-0.5,-0.5,0.5,0.0,-0.0,-0.0011500000255182385,-6.287328632308435e-16,-4.1157045033466755e-16,-8.66547966003418
0.0,7.0,6.0,0.5,-0.5,0.5,0.0008141999715007842,0.0,-0.0011500000255182385,0.0,-1.0912732432338527e-16,-8.66547966003418
0.0,7.0,7.0,0.5,0.5,0.5,0.0008141999715007842,0.0008141999715007842,-0.0011500000255182385,0.0,0.0,-8.66547966003418
0.0,7.0,8.0,-0.5,0.5,0.5,0.0,0.0008141999715007842,-0.0011500000255182385,-3.129513307281354e-16,0.0,-8.66547966003418
0.0,8.0,1.0,-0.5,-0.5,-0.5,-0.0,0.0,0.0013500000350177288,3.36196402960076e-16,1.130838086025652e-16,10.17251968383789
0.0,8.0,2.0,0.5,-0.5,-0.5,0.0009558000019751489,-0.0,0.0013500000350177288,0.0,1.2267809785655547e-16,10.17251968383789
0.0,8.0,3.0,0.5,0.5,-0.5,0.0009558000019751489,0.0009558000019751489,0.0013500000350177288,0.0,0.0,10.17251968383789
0.0,8.0,4.0,-0.5,0.5,-0.5,-0.0,0.0009558000019751489,0.0013500000350177288,2.3768615355704563e-16,0.0,10.17251968383789
0.0,8.0,5.0,-0.5,-0.5,0.5,-0.0,0.0,-0.0013500000350177288,1.3168624031104575e-16,-3.377923056769317e-17,-10.17251968383789
0.0,8.0,6.0,0.5,-0.5,0.5,0.0009558000019751489,-0.0,-0.0013500000350177288,0.0,4.363955566505926e-16,-10.17251968383789
0.0,8.0,7.0,0.5,0.5,0.5,0.0009558000019751489,0.0009558000019751489,-0.0013500000350177288,0.0,0.0,-10.17251968383789
0.0,8.0,8.0,-0.5,0.5,0.5,-0.0,0.0009558000019751489,-0.0013500000350177288,2.1036521172247658e-16,0.0,-10.17251968383789
0.0,9.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.001550000044517219,-5.592907199347718e-16,9.906210460305633e-17,11.679559707641602
0.0,9.0,2.0,0.5,-0.5,-0.5,0.0010973999742418528,0.0,0.001550000044517219,0.0,-3.4204363021365003e-16,11.679559707641602
0.0,9.0,3.0,0.5,0.5,-0.5,0.0010973999742418528,0.0010973999742418528,0.001550000044517219,0.0,0.0,11.679559707641602
0.0,9.0,4.0,-0.5,0.5,-0.5,0.0,0.0010973999742418528,0.001550000044517219,-7.293381427497889e-16,0.0,11.679559707641602
0.0,9.0,5.0,-0.5,-0.5,0.5,0.0,0.0,-0.001550000044517219,-4.2005819692218847e-16,-7.92102926799308e-17,-11.679559707641602
0.0,9.0,6.0,0.5,-0.5,0.5,0.0010973999742418528,0.0,-0.001550000044517219,0.0,4.887252521319633e-16,-11.679559707641602
0.0,9.0,7.0,0.5,0.5,0.5,0.0010973999742418528,0.0010973999742418528,-0.001550000044517219,0.0,0.0,-11.679559707641602
0.0,9.0,8.0,-0.5,0.5,0.5,0.0,0.0010973999742418528,-0.001550000044517219,-3.174699338643819e-16,0.0,-11.679559707641602
0.0,10.0,1.0,-0.5,-0.5,-0.5,-0.0,0.0,0.0017500000540167093,2.32687812135298e-16,5.2270598389687436e-17,13.186599731445312
0.0,10.0,2.0,0.5,-0.5,-0.5,0.0012390000047162175,-0.0,0.0017500000540167093,0.0,-1.5936210218540415e-16,13.186599731445312
0.0,10.0,3.0,0.5,0.5,-0.5,0.0012390000047162175,0.0012390000047162175,0.0017500000540167093,0.0,0.0,13.186599731445312
0.0,10.0,4.0,-0.5,0.5,-0.5,-0.0,0.0012390000047162175,0.0017500000540167093,8.361423270140966e-16,0.0,13.186599731445312
0.0,10.0,5.0,-0.5,-0.5,0.5,-0.0,-0.0,-0.0017500000540167093,-1.1317518228175027e-16,-2.1031372800115128e-16,-13.186599731445312
0.0,10.0,6.0,0.5,-0.5,0.5,0.0012390000047162175,0.0,-0.0017500000540167093,0.0,-9.892839912884326e-17,-13.186599731445312
0.0,10.0,7.0,0.5,0.5,0.5,0.0012390000047162175,0.0012390000047162175,-0.0017500000540167093,0.0,0.0,-13.186599731445312
0.0,10.0,8.0,-0.5,0.5,0.5,-0.0,0.0012390000047162175,-0.0017500000540167093,1.8232364337314114e-16,0.0,-13.186599731445312
0.0,11.0,1.0,-0.5,-0.5,-0.5,0.0,0.0,0.0019499999471008778,1.1174488774097258e-16,-9.937484769602834e-16,14.693639755249023
0.0,11.0,2.0,0.5,-0.5,-0.5,0.0013806000351905823,0.0,0.0019499999471008778,0.0,-7.933341685974809e-17,14.693639755249023
0.0,11.0,3.0,0.5,0.5,-0.5,0.0013806000351905823,0.0013806000351905823,0.0019499999471008778,0.0,0.0,14.693639755249023
0.0,11.0,4.0,-0.5,0.5,-0.5,0.0,0.0013806000351905823,0.0019499999471008778,-7.631184519610009e-16,0.0,14.693639755249023
0.0,11.0,5.0,-0.5,-0.5,0.5,0.0,0.0,-0.0019499999471008778,-6.757468711028218e-17,-1.1547717695739308e-15,-14.693639755249023
0.0,11.0,6.0,0.5,-0.5,0.5,0.0013806000351905823,-0.0,-0.0019499999471008778,0.0,-4.6443711176503825e-16,-14.693639755249023
0.0,11.0,7.0,0.5,0.5,0.5,0.0013806000351905823,0.0013806000351905823,-0.0019499999471008778,0.0,0.0,-14.693639755249023
0.0,11.0,8.0,-0.5,0.5,0.5,0.0,0.0013806000351905823,-0.0019499999471008778,-1.0018974633084618e-15,0.0,-14.693639755249023
0.0,12.0,1.0,-0.5,-0.5,-0.5,0.0,-0.0,0.00215000007301569,-5.466945988552715e-16,-1.0626702640940551e-16,16.200679779052734
0.0,12.0,2.0,0.5,-0.5,-0.5,0.0015221999492496252,-0.0,0.00215000007301569,0.0,2.245089678757289e-16,16.200679779052734
0.0,12.0,3.0,0.5,0.5,-0.5,0.0015221999492496252,0.0015221999492496252,0.00215000007301569,0.0,0.0,16.200679779052734
0.0,12.0,4.0,-0.5,0.5,-0.5,-0.0,0.0015221999492496252,0.00215000007301569,-4.002038240478865e-16,0.0,16.200679779052734
0.0,12.0,5.0,-0.5,-0.5,0.5,0.0,-0.0,-0.00215000007301569,-8.258016429148977e-16,-5.445842162671874e-16,-16.200679779052734
0.0,12.0,6.0,0.5,-0.5,0.5,0.0015221999492496252,-0.0,-0.00215000007301569,0.0,-1.7746928431753694e-17,-16.200679779052734
0.0,12.0,7.0,0.5,0.5,0.5,0.0015221999492496252,0.0015221999492496252,-0.00215000007301569,0.0,0.0,-16.200679779052734
0.0,12.0,8.0,-0.5,0.5,0.5,-0.0,0.0015221999492496252,-0.00215000007301569,-6.975461904426973e-16,0.0,-16.200679779052734
0.0,13.0,1.0,-0.5,-0.5,-0.5,-0.0,0.0,0.0023499999660998583,-3.317292306055956e-16,-3.4698609393065847e-16,17.707719802856445
0.0,13.0,2.0,0.5,-0.5,-0.5,0.00166379997972399,0.0,0.0023499999660998583,0.0,-4.824723490362136e-16,17.707719802856445
0.0,13.0,3.0,0.5,0.5,-0.5,0.00166379997972399,0.00166379997972399,0.0023499999660998583,0.0,0.0,17.707719802856445
0.0,13.0,4.0,-0.5,0.5,-0.5,-0.0,0.00166379997972399,0.0023499999660998583,2.961120510389239e-16,0.0,17.707719802856445
0.0,13.0,5.0,-0.5,-0.5,0.5,-0.0,0.0,-0.0023499999660998583,-5.422575755797574e-16,-8.323120440266126e-16,-17.707719802856445
0.0,13.0,6.0,0.5,-0.5,0.5,0.00166379997972399,0.0,-0.0023499999660998583,0.0,-1.7009750363802356e-16,-17.707719802856445
0.0,13.0,7.0,0.5,0.5,0.5,0.00166379997972399,0.00166379997972399,-0.0023499999660998583,0.0,0.0,-17.707719802856445
0.0,13.0,8.0,-0.5,0.5,0.5,-0.0,0.00166379997972399,-0.0023499999660998583,2.1705229861303287e-16,0.0,-17.707719802856445
0.0,14.0,1.0,-0.5,-0.5,-0.5,0.0,-0.0,0.0025500000920146704,-8.641855195325648e-19,-4.550229228914579e-16,19.214759826660156
0.0,14.0,2.0,0.5,-0.5,-0.5,0.0018054000101983547,-0.0,0.0025500000920146704,0.0,-1.6715113923566888e-16,19.214759826660156
0.0,14.0,3.0,0.5,0.5,-0.5,0.0018054000101983547,0.0018054000101983547,0.0025500000920146704,0.0,0.0,19.214759826660156
0.0,14.0,4.0,-0.5,0.5,-0.5,0.0,0.0018054000101983547,0.0025500000920146704,3.1451807698275986e-16,0.0,19.214759826660156
0.0,14.0,5.0,-0.5,-0.5,0.5,0.0,-0.0,-0.0025500000920146704,-4.2790137790662847e-16,-1.0839656385349837e-15,-19.214759826660156
0.0,14.0,6.0,0.5,-0.5,0.5,0.0018054000101983547,-0.0,-0.0025500000920146704,0.0,4.080519681160018e-17,-19.214759826660156
0.0,14.0,7.0,0.5,0.5,0.5,0.0018054000101983547,0.0018054000101983547,-0.0025500000920146704,0.0,0.0,-19.214759826660156
0.0,14.0,8.0,-0.5,0.5,0.5,0.0,0.0018054000101983547,-0.0025500000920146704,2.2526978875082046e-16,0.0,-19.214759826660156
0.0,15.0,1.0,-0.5,-0.5,-0.5,-0.0,0.0,0.002749999985098839,-4.411501378719882e-16,-5.524775574839726e-16,20.721799850463867
0.0,15.0,2.0,0.5,-0.5,-0.5,0.0019470000406727195,-0.0,0.002749999985098839,0.0,8.175573256554838e-17,20.721799850463867
0.0,15.0,3.0,0.5,0.5,-0.5,0.0019470000406727195,0.0019470000406727195,0.002749999985098839,0.0,0.0,20.721799850463867
0.0,15.0,4.0,-0.5,0.5,-0.5,-0.0,0.0019470000406727195,0.002749999985098839,6.380060211187059e-16,0.0,20.721799850463867
0.0,15.0,5.0,-0.5,-0.5,0.5,-0.0,0.0,-0.002749999985098839,-1.9353685412607323e-17,-3.521154607614345e-16,-20.721799850463867
0.0,15.0,6.0,0.5,-0.5,0.5,0.0019470000406727195,0.0,-0.002749999985098839,0.0,-2.3187458109659507e-16,-20.721799850463867
0.0,15.0,7.0,0.5,0.5,0.5,0.0019470000406727195,0.0019470000406727195,-0.002749999985098839,0.0,0.0,-20.721799850463867
0.0,15.0,8.0,-0.5,0.5,0.5,-0.0,0.0019470000406727195,-0.002749999985098839,4.3312045082047465e-16,0.0,-20.721799850463867
0.0,16.0,1.0,-0.5,-0.5,-0.5,0.0,-0.0,0.002950000111013651,-1.7816736652101657e-15,-1.2305206290276824e-16,22.228839874267578
0.0,16.0,2.0,0.5,-0.5,-0.5,0.0020886000711470842,0.0,0.002950000111013651,0.0,-9.619822003394053e-16,22.228839874267578
0.0,16.0,3.0,0.5,0.5,-0.5,0.0020886000711470842,0.0020886000711470842,0.002950000111013651,0.0,0.0,22.228839874267578
0.0,16.0,4.0,-0.5,0.5,-0.5,0.0,0.0020886000711470842,0.002950000111013651,-1.1589734765087858e-15,0.0,22.228839874267578
0.0,16.0,5.0,-0.5,-0.5,0.5,0.0,-0.0,-0.002950000111013651,-1.1315092802270123e-15,-7.362182208034212e-16,-22.228839874267578
0.0,16.0,6.0,0.5,-0.5,0.5,0.0020886000711470842,0.0,-0.002950000111013651,0.0,4.4895677732568806e-17,-22.228839874267578
0.0,16.0,7.0,0.5,0.5,0.5,0.0020886000711470842,0.0020886000711470842,-0.002950000111013651,0.0,0.0,-22.228839874267578
