Step,Frame,Ux,Uy,Uz,Fx,Fy,Fz
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0.0,1.0,-0.033749714493751526,-0.027836235240101814,0.09769999980926514,0.0,0.0,2250.35791015625
0.0,2.0,-0.10328247398138046,-0.06986177712678909,0.19539999961853027,0.0,0.0,3722.344482421875
0.0,3.0,-0.12815473973751068,-0.08129709213972092,0.21982499957084656,0.0,0.0,3808.23828125
0.0,4.0,-0.13394255936145782,-0.08407587558031082,0.22593125700950623,0.0,0.0,3816.44189453125
0.0,5.0,-0.13927485048770905,-0.08667025715112686,0.2320374995470047,0.0,0.0,3816.028076171875
0.0,6.0,-0.14439301192760468,-0.08917881548404694,0.23814375698566437,0.0,0.0,3809.47900390625
0.0,7.0,-0.1521228700876236,-0.09294091165065765,0.24730312824249268,0.0,0.0,3800.079345703125
0.0,8.0,-0.16396288573741913,-0.0985889807343483,0.26104217767715454,0.0,0.0,3796.17041015625
0.0,9.0,-0.1818583905696869,-0.10697098076343536,0.2816507816314697,0.0,0.0,3795.839599609375
0.0,10.0,-0.19523394107818604,-0.1134093701839447,0.2971072196960449,0.0,0.0,3797.056396484375
0.0,11.0,-0.21517427265644073,-0.1232319250702858,0.3202919065952301,0.0,0.0,3795.468017578125
0.0,12.0,-0.23485079407691956,-0.13354365527629852,0.3434765636920929,0.0,0.0,3793.005615234375
0.0,13.0,-0.25442829728126526,-0.14427891373634338,0.3666612207889557,0.0,0.0,3791.08837890625
0.0,14.0,-0.27382174134254456,-0.15550297498703003,0.38984590768814087,0.0,0.0,3789.496826171875
0.0,15.0,-0.3023030459880829,-0.17407169938087463,0.42462289333343506,0.0,0.0,3784.699462890625
0.0,16.0,-0.3231279253959656,-0.1896207481622696,0.4507056474685669,0.0,0.0,3779.49560546875
0.0,17.0,-0.35488584637641907,-0.21300998330116272,0.48982977867126465,0.0,0.0,3772.478271484375
0.0,18.0,-0.36692944169044495,-0.22127291560173035,0.5045013427734375,0.0,0.0,3771.189697265625
0.0,19.0,-0.385191947221756,-0.2335684448480606,0.526508629322052,0.0,0.0,3768.6337890625
0.0,20.0,-0.41316792368888855,-0.2518409490585327,0.5595196485519409,0.0,0.0,3761.998046875
0.0,21.0,-0.4563027620315552,-0.2786993682384491,0.6090360879898071,0.0,0.0,3747.878173828125
0.0,22.0,-0.4889523684978485,-0.2974804639816284,0.6461734771728516,0.0,0.0,3738.29345703125
0.0,23.0,-0.521844744682312,-0.3155173659324646,0.6833108067512512,0.0,0.0,3728.96435546875
0.0,24.0,-0.5543656945228577,-0.3321816027164459,0.7204481959342957,0.0,0.0,3724.385009765625
0.0,25.0,-0.5867184400558472,-0.3482680916786194,0.7575855255126953,0.0,0.0,3721.86572265625
0.0,26.0,-0.6349406242370605,-0.37218132615089417,0.8132915496826172,0.0,0.0,3719.885986328125
0.0,27.0,-0.7065386176109314,-0.4092564582824707,0.8968505859375,0.0,0.0,3718.0458984375
0.0,28.0,-0.7900367975234985,-0.4525464177131653,0.9945505857467651,0.0,0.0,3716.68359375
0.0,29.0,-0.8741471171379089,-0.49411365389823914,1.0922505855560303,0.0,0.0,3717.776611328125
0.0,30.0,-0.8951544761657715,-0.504509449005127,1.116675615310669,0.0,0.0,3718.72607421875
0.0,31.0,-0.9266837239265442,-0.5200705528259277,1.153313159942627,0.0,0.0,3720.23291015625
0.0,32.0,-0.9739924669265747,-0.5434167385101318,1.2082693576812744,0.0,0.0,3722.625732421875
0.0,33.0,-1.0450067520141602,-0.5784325003623962,1.2907037734985352,0.0,0.0,3726.338134765625
